Discipline / Program Cluster,Particularly Appropriate Task Types,Recommended Deliverables,High-value Verbs to Add / Emphasize,Why this fit is strong,AI-resistant design moves,Primary Source Keys,Source URLs
Business / Management / Entrepreneurship,Simulation; Scenario; Role Play; Real world project; Design project; Case-based decision memo; Peer review / Calibration; Capstone / Client project; Simulation game / Business game; Policy lab / Stakeholder briefing,Decision memo / Recommendation brief; Presentation; Policy brief / Stakeholder brief; Proposal / Prototype; Client communication artifact; Process log / Design notebook; Portfolio reflection / Self-assessment,"Forecast, prioritize, negotiate, weigh, pitch, benchmark, allocate, justify","Business assessment commonly uses dynamic decisions, tradeoffs, stakeholders, markets, and communication for action.","Use simulation logs, changing market conditions, stakeholder Q&A, decision rationales, and team contribution evidence.","Gosen_Washbush_2004, Villarroel_2018, Gulikers_2004",https://eric.ed.gov/?id=EJ962209; https://eric.ed.gov/?id=EJ1181322; https://link.springer.com/article/10.1007/BF02504676
Tourism / Hospitality / Event management,Simulation; Simulation game / Business game; Role Play; Scenario; Real world demonstration; Real world project; Case-based decision memo; Community-based project; Capstone / Client project; Fieldwork / Practicum evidence,Client communication artifact; Decision memo / Recommendation brief; Rubric-scored observation checklist; Report; Presentation; Portfolio reflection / Self-assessment; Process log / Design notebook,"Serve, recover service, forecast demand, design experience, coordinate operations, communicate with guests","Service-oriented programs require authentic customer/stakeholder interaction, operational judgment, teamwork, and response to changing conditions.","Use service-recovery role plays, event constraints, simulation decision logs, fieldwork evidence, and stakeholder/client feedback.","Tourism_Sim_2021, Gosen_Washbush_2004, Villarroel_2018",https://files.eric.ed.gov/fulltext/EJ1341383.pdf; https://eric.ed.gov/?id=EJ962209; https://eric.ed.gov/?id=EJ1181322
Healthcare administration / Health systems management,Simulation; Scenario; Role Play; Case-based decision memo; Data analysis practicum; Policy lab / Stakeholder briefing; Capstone / Client project; Structured debate / Moot court; Community-based project; Peer review / Calibration,Decision memo / Recommendation brief; Policy brief / Stakeholder brief; Data visualization / Dashboard; Client communication artifact; Presentation; Process log / Design notebook; Portfolio reflection / Self-assessment,"Allocate, improve quality, evaluate risk, negotiate, comply, analyze metrics, communicate change","Health administration requires integrating data, policy, ethics, operations, stakeholder communication, and quality/safety priorities.","Use local health-system data, changing constraints, stakeholder briefings, team decision logs, and QI/implementation artifacts.","HealthSim_Quality_2023, Gosen_Washbush_2004, Villarroel_2018, Kane_2013",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10767249/; https://eric.ed.gov/?id=EJ962209; https://eric.ed.gov/?id=EJ1181322; https://www.ets.org/research/policy_research_reports/publications/article/201...
Humanities / History / Literature / Philosophy,Scenario; Oral exam / Viva; Structured debate / Moot court; Peer review / Calibration; Process-product portfolio assessment; Primary-source/document-based assessment; AI audit / Source verification task,Source analysis packet / Evidence matrix; Debate brief / Argument map; Report; Oral defense / Viva response; Peer review report / Calibration note; Portfolio reflection / Self-assessment; Annotated artifact / Work sample; AI-use disclosure / Prompt audit trail,"Interpret, contextualize, close-read, corroborate, refute, cite, argue, question assumptions","Humanities assessment often centers on evidence interpretation, textual/source analysis, argument quality, and disciplinary reasoning.","Use assigned source/text packets, evidence matrices, argument maps, oral defense, peer calibration, and process portfolios.","Wineburg_1991, Smith_Breakstone_Wineburg_2019, Argument_Rubrics_2013, Tai_2018",https://eric.ed.gov/?id=EJ436869; https://www.jstor.org/stable/pdf/48541494.pdf; https://files.eric.ed.gov/fulltext/EJ1068572.pdf; https://link.springer.com/article/10.1007/s10734-017-0220-3
Languages / Communication,Scenario; Role Play; Real world demonstration; Oral exam / Viva; Peer review / Calibration; Process-product portfolio assessment; Capstone / Client project,Client communication artifact; Oral defense / Viva response; Presentation; Portfolio reflection / Self-assessment; Peer review report / Calibration note; Annotated artifact / Work sample,"Negotiate meaning, converse, brief, translate, persuade for audience, adapt tone","Oral and written communication require observable, functional, context-sensitive performance for a defined audience.","Use live/recorded interactions, role cards, audience constraints, unscripted follow-up, and peer/audience feedback.","Language_Oral_2026, Chi_Wylie_2014, Dochy_1999",https://link.springer.com/article/10.1007/s10758-026-09963-w; https://files.eric.ed.gov/fulltext/EJ1044018.pdf; https://eric.ed.gov/?id=EJ609990
Arts / Design / Architecture / Media,Real world demonstration; Real world project; Design project; Peer review / Calibration; Process-product portfolio assessment; Capstone / Client project; Design critique / Studio review; AI audit / Source verification task,Artifact; Portfolio; Prototype iteration history; Process log / Design notebook; Annotated artifact / Work sample; Presentation; Peer review report / Calibration note; AI-use disclosure / Prompt audit trail,"Iterate, critique, render, compose, curate, revise, explain choices, adapt to constraints","Creative work is best assessed through artifacts, process, critique, criteria, reflection, and revision.","Require process book, critique response, version history, audience/client constraints, and live presentation.","Design_Critique_2025, Tai_2018, Jonsson_Svingby_2007",https://link.springer.com/article/10.1007/s44217-025-00824-9; https://link.springer.com/article/10.1007/s10734-017-0220-3; https://eric.ed.gov/?id=EJ796733
Public policy / Public health,Scenario; Real world project; Case-based decision memo; Structured debate / Moot court; Data analysis practicum; Simulation game / Business game; Community-based project; Policy lab / Stakeholder briefing; AI audit / Source verification task,Policy brief / Stakeholder brief; Data visualization / Dashboard; Decision memo / Recommendation brief; Source analysis packet / Evidence matrix; Presentation; Portfolio reflection / Self-assessment; AI-use disclosure / Prompt audit trail,"Synthesize, advocate, weigh, mitigate, forecast, communicate for audience, evaluate equity","Work requires evidence synthesis, feasibility judgment, stakeholder communication, ethics/equity, and actionable recommendations.","Use local data, stakeholder constraints, briefings with Q&A, evidence matrices, and transparent tool/source use.","Villarroel_2018, Gulikers_2004, Vlachopoulos_Makri_2024, GenAI_Assessment_2024",https://eric.ed.gov/?id=EJ1181322; https://link.springer.com/article/10.1007/BF02504676; https://www.sciencedirect.com/science/article/pii/S0191491X24001044; https://link.springer.com/article/10.1186/s41239-024-00468-z
Criminal justice / Legal studies,Simulation; Scenario; Role Play; Case-based decision memo; Structured debate / Moot court; Primary-source/document-based assessment; AI audit / Source verification task,Debate brief / Argument map; Source analysis packet / Evidence matrix; Decision memo / Recommendation brief; Client communication artifact; Oral defense / Viva response; Report,"Argue, defend, corroborate, weigh, refute, comply, apply procedure, evaluate evidence","Legal/criminal justice learning emphasizes evidence, procedure, argument, ethics, and judgment under constraints.","Use assigned fact patterns, changing facts, oral argument, procedural criteria, evidence matrices, and response to questioning.","Argument_Rubrics_2013, Kane_2013, Wineburg_1991",https://files.eric.ed.gov/fulltext/EJ1068572.pdf; https://www.ets.org/research/policy_research_reports/publications/article/201...; https://eric.ed.gov/?id=EJ436869
Library / Information / Media literacy,Scenario; Inquiry / Investigation; Primary-source/document-based assessment; Peer review / Calibration; Process-product portfolio assessment; AI audit / Source verification task,Source analysis packet / Evidence matrix; AI-use disclosure / Prompt audit trail; Report; Peer review report / Calibration note; Oral defense / Viva response; Portfolio reflection / Self-assessment,"Verify, source, search, triangulate, annotate, evaluate credibility, disclose tool use","Information literacy assessment focuses on source evaluation, search strategy, evidence credibility, and transparent tool use.","Use assigned/local source sets, audit trails, source verification tasks, and oral explanation of search decisions.","Smith_Breakstone_Wineburg_2019, Alkouk_Khlaif_2024, GenAI_Assessment_2024",https://www.jstor.org/stable/pdf/48541494.pdf; https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2024.14...; https://link.springer.com/article/10.1186/s41239-024-00468-z
Exercise science / Kinesiology / Athletic training,Real world demonstration; Performance task / Skills check; OSCE / Standardized client station; Fieldwork / Practicum evidence; Lab practicum; Case-based decision memo; Process-product portfolio assessment; Community-based project,Rubric-scored observation checklist; Clinical note / Care plan / Handoff; Portfolio reflection / Self-assessment; Lab notebook / Research log; Process log / Design notebook; Report,"Assess movement, cue, prescribe, monitor, adapt, coach, document, evaluate risk","Exercise science outcomes often require observable practical technique, client interaction, safety, interpretation of physiological data, and professional judgment.","Use observed skills checks, client-specific data, practicum evidence, supervisor feedback, and reflection on coaching/technique choices.","Exercise_WIL_2010, Miller_1990, OSCE_Validity_2018, Hofstein_Lunetta_2004",https://www.ijwil.org/files/APJCE_11_3_153_167.pdf; https://academic.oup.com/academicmedicine/article-abstract/65/9/S63/8361091; https://link.springer.com/article/10.1186/s12909-018-1421-x; https://eric.ed.gov/?id=EJ759842
Sociology / Gender studies / Interdisciplinary social inquiry,Scenario; Inquiry / Investigation; Community-based project; Primary-source/document-based assessment; Structured debate / Moot court; Process-product portfolio assessment; Peer review / Calibration; Data analysis practicum; AI audit / Source verification task,Source analysis packet / Evidence matrix; Report; Policy brief / Stakeholder brief; Debate brief / Argument map; Portfolio reflection / Self-assessment; Peer review report / Calibration note; Data visualization / Dashboard,"Analyze power, compare perspectives, code data, evaluate positionality, synthesize, critique assumptions","These fields often assess theory application, qualitative/quantitative evidence, reflexivity, structural analysis, and communication about contested issues.","Use local/community data, positionality/reflexive process notes, assigned source sets, peer calibration, and transparent source/AI-use trails.","FeministReflective_2025, Argument_Rubrics_2013, Villarroel_2018, Tai_2018",https://www.tandfonline.com/doi/full/10.1080/09540253.2025.2508761; https://files.eric.ed.gov/fulltext/EJ1068572.pdf; https://eric.ed.gov/?id=EJ1181322; https://link.springer.com/article/10.1007/s10734-017-0220-3
