Behavior,Definition / Construct,Verbs,Internal / External,Independent / Interactive,Program Preferred Context,Preferred Task Type,Other Possible Task Type,Learner choice of task,Preferred Deliverable Task Type,Other Possible Deliverable Task Type,Learner choice of deliverable
Investigate / Inquire,"Generate and pursue an evidence-seeking question; collect, evaluate, and interpret data or sources.","Hypothesize, Inquire, Explore, Sample, Collect, Triangulate, Corroborate, Interview, Survey",External,Independent,Real world or simulated,Inquiry / Investigation,"Lab practicum, Real world project, Scenario, Primary-source/document-based assessment",Decided by program,Lab notebook / Research log,"Evidence matrix, Research poster, Report, Data visualization",Decided by program
Model / Represent,"Construct a representation of a system, relationship, process, argument, data structure, or phenomenon.","Model, Represent, Map, Diagram, Visualize, Graph, Estimate, Forecast, Predict, Parameterize",External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Critique / Calibrate,"Judge quality against criteria; compare work to standards, exemplars, or peer work; explain scoring decisions.","Critique, Audit, Calibrate, Benchmark, Rate, Score, Peer-review, Rank",External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva, Scenario",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact, Oral defense",Decided by program
Argue / Defend,"Make a claim and support it with evidence, reasoning, counterargument, or disciplinary warrants.","Argue, Defend, Substantiate, Cite, Refute, Advocate, Debate, Warrant",External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Troubleshoot / Diagnose,"Identify causes of a problem, test plausible explanations, and recommend or implement corrective action.","Diagnose, Troubleshoot, Debug, Triage, Isolate, Inspect, Repair, Configure, Remediate",External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Self-Regulate / Revise,"Monitor the quality of one's work, use feedback, set goals, and improve through iteration.","Self-assess, Revise, Rehearse, Track, Set goals, Seek feedback, Calibrate, Iterate",External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Annotated artifact, Prototype iteration history",Always
Collaborate / Coordinate,"Work with others to plan, contribute, negotiate roles, integrate work, and resolve interactional challenges.","Coordinate, Co-create, Co-author, Mediate, Facilitate, Mentor, Consult, Delegate, Contribute",External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration, Community-based project",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement, Presentation",Decided by program
Ethical / Professional Judgment,"Apply disciplinary standards, values, legal/ethical constraints, and risk considerations to a situated decision.","Weigh, Mitigate, Disclose, Safeguard, Comply, Consent, Escalate, Adhere, Protect",External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Care plan, Client communication artifact",Decided by program
Perform Procedure / Technique,"Carry out a procedure, protocol, technique, or tool use to an observable performance standard.","Execute, Operate, Administer, Assemble, Fabricate, Manipulate, Capture, Prepare, Install, Position",External,Independent,Real world or simulated,Performance task / Skills check,"Lab practicum, OSCE / Standardized client station, Real world demonstration",No choice,Rubric-scored observation checklist,"Video demonstration, Artifact, Lab notebook, Clinical note",No choice
Communicate for Audience,"Adapt message, format, tone, evidence, and medium to an intended audience and purpose.","Brief, Pitch, Translate, Narrate, Summarize, Present, Advise, Educate, Visualize",External,Independent or interactive,Real world or simulated,Stakeholder briefing / Presentation,"Client communication, Policy lab / stakeholder briefing, Oral exam / Viva",Decided by program,Client communication artifact / Brief,"Presentation, Poster with Q&A, Video, Data visualization",Decided by program
Use Tools / AI Responsibly,"Use digital, analytic, or AI tools transparently; verify outputs; document assumptions, limitations, and human decisions.","Prompt, Audit, Verify output, Disclose, Attribute, Replicate, Validate, Annotate, Compare outputs",External,Independent,Real world or simulated,AI audit / Source verification task,"Data analysis practicum, Process-product portfolio assessment, Case-based decision memo",Decided by program,AI-use disclosure / Prompt audit trail,"Verification memo, Annotated artifact, Process log",Always
