Program,Discipline Cluster
"Special Education Paraprofessional, A.A.",Teacher education
"Medical Laboratory Technology, A.S.",Health professions / Nursing / Medicine
"Physical Therapist Assistant, A.S.",Health professions / Nursing / Medicine
Drug Policy and Intervention Certificate,Criminal justice / Legal studies
Energy Development & Policy Certificate,Public policy / Public health
Gerontology Certificate,Social work / Counseling / Human services
GIS (Geographic Information Systems) Certificate,Computer science / Information systems
Graduate Certificate in Special Education,Teacher education
Graphic Design Certificate,Arts / Design / Architecture / Media
Human Services Assistant Certificate,Social work / Counseling / Human services
Mental Health Rehabilitation Technician/Community Certification (MHRT/C),Social work / Counseling / Human services
Project Management Certificate,Business / Management / Entrepreneurship
Women’s Studies Certificate,Sociology / Gender studies / Interdisciplinary social inquiry
Graduate Certificate in Entrepreneurship,Business / Management / Entrepreneurship
Graduate Certificate in Communication,Languages / Communication
Graduate Certificate in Human Resource Management,Business / Management / Entrepreneurship
Graduate Certificate in Finance,Business / Management / Entrepreneurship
Graduate Certificate in Supply Chain Management,Business / Management / Entrepreneurship
Graduate Certificate in Project Management,Business / Management / Entrepreneurship
Graduate Certificate in Business Intelligence,Business / Management / Entrepreneurship
Graduate Certificate in Corporate Social Responsibility,Business / Management / Entrepreneurship
Graduate Certificate in Global Business Management,Business / Management / Entrepreneurship
Graduate Certificate in Healthcare Management,Healthcare administration / Health systems management
Accounting Minor,Business / Management / Entrepreneurship
Art Minor,Arts / Design / Architecture / Media
Athletics Coaching Minor,Exercise science / Kinesiology / Athletic training
Biology Minor,Natural sciences / Lab sciences
Business Administration Minor,Business / Management / Entrepreneurship
Chemistry Minor,Natural sciences / Lab sciences
Community Health Minor,Public policy / Public health
Computer Science Minor,Computer science / Information systems
Criminal Justice Minor,Criminal justice / Legal studies
Cybersecurity Minor,Cybersecurity / Information assurance
Early Childhood Education Minor,Teacher education
Educational Studies Minor,Teacher education
Energy Development & Policy Minor,Agriculture / Environmental science / Sustainability
English and Media Studies Minor,Humanities / History / Literature / Philosophy
Environmental Studies Minor,Agriculture / Environmental science / Sustainability
Film Studies Minor,Arts / Design / Architecture / Media
French Minor,Languages / Communication
Geology Minor,Natural sciences / Lab sciences
Graphic Design Minor,Arts / Design / Architecture / Media
Healthcare Administration Minor,Healthcare administration / Health systems management
Health & Wellness Minor,Exercise science / Kinesiology / Athletic training
History Minor,Humanities / History / Literature / Philosophy
Humanities Minor,Humanities / History / Literature / Philosophy
Human Services Minor,Social work / Counseling / Human services
International Studies Minor,Sociology / Gender studies / Interdisciplinary social inquiry
Management Information Systems Minor,Computer science / Information systems
Management Minor,Business / Management / Entrepreneurship
Mathematics Minor,Mathematics / Statistics / Economics
Media and Cultural Studies Minor,Sociology / Gender studies / Interdisciplinary social inquiry
Philosophy Minor,Humanities / History / Literature / Philosophy
Physical Education Minor,Exercise science / Kinesiology / Athletic training
Physical Science Minor,Natural sciences / Lab sciences
Political Science Minor,Public policy / Public health
Pre-Law Studies Minor,Criminal justice / Legal studies
Project Management Minor,Business / Management / Entrepreneurship
Psychology Minor,Psychology / Behavioral science
Recreation/Leisure Minor,Tourism / Hospitality / Event management
Social Studies Minor,Sociology / Gender studies / Interdisciplinary social inquiry
Sociology Minor,Sociology / Gender studies / Interdisciplinary social inquiry
Sustainable Agriculture Minor,Agriculture / Environmental science / Sustainability
"Tourism, Hospitality and Outdoor Recreation (THOR) Minor",Tourism / Hospitality / Event management
Wabanaki Studies Minor,Sociology / Gender studies / Interdisciplinary social inquiry
Women’s Studies Minor,Sociology / Gender studies / Interdisciplinary social inquiry
Writing Minor,Languages / Communication
